0003000M_phase0_T,0003000M_phase0_R,0004000M_phase0_T,0004000M_phase0_R,0005000M_phase0_T,0005000M_phase0_R,0006000M_phase0_T,0006000M_phase0_R,0007000M_phase0_T,0007000M_phase0_R,0008000M_phase0_T,0008000M_phase0_R,0009000M_phase0_T,0009000M_phase0_R,0010000M_phase0_T,0010000M_phase0_R,0011000M_phase0_T,0011000M_phase0_R,0012000M_phase0_T,0012000M_phase0_R,0013000M_phase0_T,0013000M_phase0_R,0014000M_phase0_T,0014000M_phase0_R,0015000M_phase0_T,0015000M_phase0_R,0016000M_phase0_T,0016000M_phase0_R
3414.538112,0.295486437,3593.141601,0.370836503,3777.831295,0.459648684,4026.144514,0.560740967,4437.8936,0.647004261,4920.84114,0.717722116,5350.872526,0.798111366,5723.553125,0.894522992,6047.245669,1.006233745,6344.982208,1.125741626,6638.735359,1.242388048,6952.563551,1.343830505,7343.418059,1.406106938,7812.297448,1.431608261
3414.635482,0.29574283,3593.313694,0.371041951,3803.809966,0.457576413,4025.977118,0.560887242,4437.616127,0.64719065,4920.708006,0.717899245,5351.118956,0.798268439,5724.019744,0.894701076,6047.493666,1.006410971,6345.085948,1.125946411,6638.8554,1.242603168,6952.69986,1.344021636,7343.646199,1.406242239,7812.336584,1.43183779
3414.732855,0.295999445,3593.488281,0.371246462,3820.263957,0.456321984,4025.80973,0.561033556,4437.33867,0.647377094,4920.622059,0.718067754,5351.365396,0.798425543,5724.486401,0.894879195,6047.716707,1.006596256,6345.188773,1.126164421,6638.970783,1.242820966,6952.817262,1.344217335,7343.850877,1.406399265,7812.375721,1.432067356
3414.830231,0.296256283,3593.661084,0.371444843,3784.830531,0.459429265,4025.642348,0.561179907,4437.061231,0.647563591,4920.536114,0.718236303,5351.611848,0.798582678,5724.953096,0.89505735,6047.880034,1.006800785,6345.2916,1.126382473,6639.086168,1.243038802,6952.934666,1.344413062,7344.038965,1.406571663,7812.414857,1.432296958
3414.931397,0.296521396,3593.830575,0.371631766,3769.719704,0.46099384,4025.474413,0.561328614,4436.813267,0.647746279,4920.450171,0.718404892,5351.957985,0.798752919,5725.405583,0.895236648,6048.043364,1.007005355,6345.394429,1.126600567,6639.202391,1.243258918,6953.052876,1.344610325,7344.227058,1.406744081,7812.457272,1.432535491
3415.042871,0.296808678,3594.03534,0.371809268,3794.52873,0.459452521,4025.305584,0.561481091,4436.595453,0.647925066,4920.364229,0.71857352,5352.304918,0.798923298,5725.749127,0.895424454,6048.206699,1.007209967,6345.49836,1.126820456,6639.327218,1.243502139,6953.187214,1.344837811,7344.415156,1.406916521,7812.508955,1.432799217
3415.154349,0.297096239,3594.243836,0.371985852,3788.700174,0.45988642,4025.136762,0.561633609,4436.377651,0.648103902,4920.344602,0.718738546,5352.651873,0.799093713,5726.092691,0.8956123,6048.370039,1.00741462,6345.610214,1.127053012,6639.452046,1.243745407,6953.321555,1.345065335,7344.581476,1.407124871,7812.560638,1.433062992
3415.26583,0.297384079,3594.831845,0.37213806,3793.543909,0.459740483,4024.967947,0.561786168,4436.159859,0.648282787,4920.347114,0.718902394,5352.998852,0.799264165,5726.436276,0.895800185,6048.515701,1.007628735,6345.72207,1.127285616,6639.576877,1.243988722,6953.455898,1.345292899,7344.744713,1.407338339,7812.612322,1.433326816
3415.382834,0.297681309,3595.527818,0.372283376,3797.571085,0.459579577,4024.799139,0.561938769,4435.952914,0.648461159,4920.349626,0.71906628,5353.349431,0.799433851,5726.779882,0.895988109,6048.653728,1.007846965,6345.833928,1.127518267,6639.702729,1.244236743,6953.590946,1.345527503,7344.907954,1.407551839,7812.664005,1.433590688
3415.508865,0.29799375,3596.244236,0.372416224,3782.40543,0.461196592,4024.661032,0.5620968,4435.843825,0.648634496,4920.352138,0.719230203,5353.705518,0.799602342,5727.092557,0.896180829,6048.791758,1.008065243,6345.945788,1.127750967,6639.832683,1.244503584,6953.729255,1.345794683,7345.071199,1.407765371,7812.603087,1.433921636
3415.634901,0.298306518,3596.94251,0.37254615,3769.883365,0.462707643,4024.524859,0.562255213,4435.734739,0.648807879,4920.372209,0.719394101,5354.061628,0.79977087,5727.357571,0.896380917,6048.929791,1.008283568,6346.071268,1.12800122,6639.96264,1.244770482,6953.867567,1.346061917,7345.226536,1.408018367,7812.507683,1.434273195
3415.760941,0.298619615,3597.510125,0.372674196,3792.632239,0.461041437,4024.388691,0.562413672,4435.625656,0.648981308,4920.468358,0.719557769,5354.417761,0.799939433,5727.622597,0.89658105,6049.067828,1.008501941,6346.197242,1.128252162,6640.092599,1.245037438,6954.005882,1.346329204,7345.381281,1.408274384,7812.412281,1.434624839
3415.8977,0.298944918,3598.077829,0.372802287,3771.412557,0.46300049,4024.252528,0.562572175,4435.516575,0.649154784,4920.564508,0.719721475,5354.773919,0.800108031,5727.887635,0.896781227,6049.210462,1.008734285,6346.323219,1.128503159,6640.223005,1.245306814,6954.144091,1.346599531,7345.536028,1.408530447,7812.316879,1.43497657
3416.038843,0.299275436,3598.664728,0.372921684,3791.481226,0.461640506,4024.143766,0.562732468,4435.454319,0.649325877,4920.660661,0.719885218,5355.123477,0.800277781,5728.152685,0.896981449,6049.353527,1.008967976,6346.449199,1.128754212,6640.358505,1.245603372,6954.281055,1.346904168,7345.690779,1.408786557,7812.22035,1.435332244
3416.179992,0.299606319,3599.370308,0.373030453,3795.267527,0.461300996,4024.080672,0.562895718,4435.427034,0.649495202,4920.756815,0.720048998,5355.469413,0.800448182,5728.405154,0.897189238,6049.496594,1.00920172,6346.58433,1.129017853,6640.494007,1.2459,6954.418022,1.347208873,7345.812995,1.409085161,7812.105676,1.435750035
3416.325206,0.2999402,3600.199966,0.373132592,3763.10677,0.464536255,4024.017578,0.563059016,4435.399748,0.649664571,4920.885518,0.720213028,5355.81537,0.80061862,5728.645614,0.897404256,6049.639666,1.009435519,6346.725954,1.129290446,6640.629513,1.246196699,6954.554992,1.347513648,7345.925095,1.409397032,7811.991003,1.436167948
3416.481368,0.300281557,3601.029816,0.373234758,3806.703201,0.461147538,4023.954486,0.563222361,4435.372463,0.649833984,4921.048177,0.720377318,5356.16135,0.800789093,5728.886085,0.897619325,6049.78274,1.009669372,6346.867582,1.129563104,6640.765021,1.246493469,6954.691965,1.347818491,7346.037197,1.409708972,7811.876333,1.436585983
3416.637536,0.300623302,3601.864863,0.373333375,3778.614015,0.463592777,4023.891395,0.563385753,4435.345178,0.650003441,4921.210841,0.720541645,5356.507353,0.800959603,5729.126565,0.897834446,6049.942048,1.009919613,6347.009212,1.129835828,6640.906554,1.246817783,6954.824093,1.348159177,7346.1493,1.410020981,7811.761663,1.437004139
3416.793847,0.300965469,3602.562814,0.373432045,3793.34567,0.462818677,4023.845231,0.563552597,4435.399021,0.650173361,4921.37351,0.72070601,5356.882007,0.801145622,5729.367056,0.898049618,6050.101964,1.010170523,6347.150845,1.130108619,6641.050108,1.247151388,6954.954803,1.348510444,7346.254706,1.41035582,7811.66334,1.437426975
3416.965057,0.30131163,3603.209719,0.373532915,3793.519179,0.462760776,4023.806291,0.563720944,4435.459129,0.650343357,4921.536185,0.720870412,5357.265747,0.801336581,5729.610499,0.89827361,6050.261885,1.010421496,6347.312106,1.130410077,6641.193666,1.247485083,6955.085515,1.348861804,7346.349707,1.410726102,7811.651055,1.437873933
3417.136275,0.301658189,3603.856741,0.373633813,3776.89809,0.464696607,4023.767351,0.563889341,4435.519237,0.650513398,4921.754972,0.721038733,5357.649514,0.801527585,5729.857041,0.898506866,6050.421809,1.010672531,6347.473377,1.130711625,6641.337226,1.247818867,6955.21623,1.349213254,7346.444709,1.411096482,7811.63877,1.438321031
3417.307502,0.302005146,3604.504253,0.37373463,3804.746222,0.462553619,4023.728411,0.564057788,4435.579346,0.650683483,4922.001187,0.721208989,5358.033308,0.801718635,5730.103594,0.898740182,6050.581738,1.010923629,6347.634652,1.131013254,6641.482558,1.248162982,6955.34657,1.349580072,7346.539713,1.411466959,7811.626485,1.438768268
3417.492477,0.302351192,3604.741247,0.37385032,3785.766252,0.464255463,4023.689472,0.564226285,4435.655473,0.65085433,4922.247414,0.721379286,5358.41713,0.80190973,5730.350157,0.898973558,6050.771083,1.011199978,6347.795932,1.131314963,6641.634042,1.248542818,6955.475913,1.349987495,7346.634717,1.411837533,7811.6142,1.439215643
3417.679603,0.30269743,3604.968769,0.373966552,3800.543996,0.463610166,4023.714411,0.564399926,4435.803545,0.651028445,4922.493654,0.721549623,5358.802935,0.802110968,5730.596731,0.899206996,6050.965058,1.011480363,6347.962958,1.131625053,6641.78553,1.248922769,6955.605258,1.350395042,7346.706071,1.41226967,7811.577765,1.439678941
3417.866739,0.303044064,3605.196306,0.37408282,3797.102964,0.464001276,4023.743962,0.564573988,4435.951623,0.651202607,4922.739906,0.72172,5359.189399,0.802315523,5730.851289,0.899447621,6051.15904,1.011760826,6348.149449,1.131963362,6641.937022,1.249302837,6955.734605,1.350802711,7346.772735,1.412714133,7811.292294,1.440305205
3418.066734,0.30338615,3605.609012,0.374189739,3769.668758,0.466832516,4023.773513,0.564748103,4436.099705,0.651376815,4923.050373,0.721897429,5359.575892,0.802520129,5731.121385,0.899702193,6051.353027,1.012041366,6348.335945,1.132301772,6642.088517,1.24968302,6955.863955,1.351210504,7346.839399,1.413158736,7811.006833,1.440931741
3418.270219,0.30372728,3606.843155,0.374253717,3826.095202,0.462106952,4023.803064,0.564922272,4436.247793,0.65155107,4923.382309,0.722077243,5359.962412,0.802724788,5731.391493,0.899956837,6051.547021,1.012321985,6348.522446,1.132640283,6642.24579,1.250093073,6956.01814,1.351649773,7346.906064,1.41360348,7810.721383,1.44155855
3418.473716,0.304068795,3608.089258,0.374316183,3768.879759,0.467195933,4023.83844,0.565097239,4436.421648,0.651727015,4923.714267,0.722257103,5360.34896,0.8029295,5731.661613,0.900211553,6051.770673,1.012627054,6348.708953,1.132978896,6642.408365,1.250530565,6956.188837,1.352110034,7346.973861,1.414056261,7810.435943,1.442185631
3418.690052,0.30440297,3609.335791,0.37437866,3771.241598,0.467384558,4023.938195,0.565280482,4436.643943,0.651906097,4924.046247,0.722437007,5360.749864,0.80314648,5731.931747,0.900466342,6052.011531,1.012946354,6348.902798,1.133330775,6642.570943,1.250968211,6956.359538,1.352570453,7347.050841,1.414573292,7810.150514,1.442812985
3418.911127,0.304734665,3610.494523,0.374448249,3793.335872,0.465888725,4024.037953,0.565463785,4436.866249,0.652085228,4924.378249,0.722616956,5361.158581,0.803370157,5732.206868,0.900724144,6052.252399,1.013265755,6349.114713,1.133715206,6642.733526,1.25140601,6956.530243,1.353031028,7347.127822,1.415090512,7809.880973,1.443513273
3419.132216,0.305066721,3611.502963,0.374530227,3771.988705,0.468190614,4024.137713,0.565647147,4437.088567,0.652264409,4924.768902,0.722806248,5361.567328,0.803593895,5732.537716,0.90101497,6052.493276,1.013585257,6349.326634,1.134099768,6642.896113,1.251843962,6956.700952,1.353491759,7347.204803,1.415607922,7809.613942,1.444225347
3419.365851,0.305389514,3612.527417,0.37461305,3818.743065,0.46432328,4024.237476,0.565830568,4437.310895,0.652443638,4925.180525,0.722998912,5361.976107,0.803817696,5732.868583,0.90130589,6052.734163,1.013904859,6349.538563,1.13448446,6643.069769,1.252327939,6956.813408,1.35403963,7347.281786,1.416125521,7809.34692,1.444937772
3419.60598,0.305707669,3613.552162,0.374695892,3793.456491,0.466950906,4024.349353,0.566016075,4437.573206,0.652627797,4925.592183,0.723191627,5362.384917,0.80404156,5733.19947,0.901596904,6052.987504,1.014237295,6349.750499,1.134869283,6643.249075,1.252835513,6956.908649,1.354613438,7347.3364,1.416673583,7809.079907,1.445650549
3419.846126,0.306026155,3616.648773,0.374693311,3781.990022,0.468264258,4024.523342,0.566212032,4437.887253,0.652818324,4926.003874,0.723384393,5362.817024,0.804277922,5733.530375,0.901888012,6053.271768,1.014601475,6349.969404,1.135265685,6643.428386,1.253343293,6957.003891,1.355187489,7347.318418,1.417320157,7808.812903,1.446363677
3420.097817,0.306334965,3621.628669,0.374613291,3815.514579,0.465653747,4024.697338,0.566408058,4438.201322,0.653008907,4926.415601,0.723577211,5363.2775,0.804529502,5733.861299,0.902179214,6053.556046,1.014965786,6350.216025,1.13570781,6643.607702,1.253851278,6957.099135,1.355761784,7347.300436,1.417967025,7808.534284,1.447135613
3420.35948,0.306635439,3626.62806,0.374535365,3801.314733,0.467435841,4024.871341,0.566604151,4438.515413,0.653199545,4926.898368,0.723783687,5363.738015,0.804781162,5734.238242,0.902499049,6053.840336,1.015330228,6350.462656,1.136150108,6643.787023,1.25435947,6957.194381,1.356336321,7347.282453,1.41861419,7808.244261,1.447965393
3420.621162,0.306936208,3631.643782,0.374459003,3773.930369,0.470071498,4025.045352,0.566800312,4438.829526,0.653390239,4927.420098,0.72399768,5364.19857,0.805032899,5734.632195,0.902829537,6054.124641,1.015694801,6350.709296,1.136592578,6643.976225,1.254925783,6957.329491,1.356976754,7347.264471,1.419261649,7807.954249,1.448795648
3420.890907,0.307229917,3620.912196,0.375066804,3786.39243,0.469095422,4025.231933,0.566999252,4439.200295,0.653588542,4927.941884,0.724211737,5364.659164,0.805284716,5735.026175,0.903160147,6054.408958,1.016059505,6350.955946,1.13703522,6644.170447,1.255521778,6957.474244,1.357633373,7347.253971,1.419931779,7807.664249,1.449626379
3421.177262,0.307508725,3600.962752,0.376081093,3798.206861,0.468529296,4025.474434,0.567210335,4439.637834,0.653795807,4928.463725,0.724425857,5365.133825,0.805542633,5735.420183,0.903490877,6054.733293,1.016467313,6351.202606,1.137478034,6644.364676,1.256118057,6957.619,1.358290309,7347.268602,1.420677429,7807.374258,1.450457586
