,0003000M_phase2_T,0003000M_phase2_R,0004000M_phase2_T,0004000M_phase2_R,0005000M_phase2_T,0005000M_phase2_R,0006000M_phase2_T,0006000M_phase2_R,0007000M_phase2_T,0007000M_phase2_R,0008000M_phase2_T,0008000M_phase2_R,0009000M_phase2_T,0009000M_phase2_R,0010000M_phase2_T,0010000M_phase2_R,0011000M_phase2_T,0011000M_phase2_R,0012000M_phase2_T,0012000M_phase2_R,0013000M_phase2_T,0013000M_phase2_R,0014000M_phase2_T,0014000M_phase2_R,0015000M_phase2_T,0015000M_phase2_R,0016000M_phase2_T,0016000M_phase2_R
31,-99,-99,-99.0,-99.0,-99.0,-99.0,4568.098833980267,2.3672402297452915,4640.828452552519,2.7102940536963493,4705.909556623719,2.9596591561689127,4763.5740111430305,3.143272142851245,4815.497044074415,3.2860016205326903,4865.163135961986,3.3649517380845317,4895.7417536943485,3.565013259210031,4934.908907021912,3.6391818874174975,4983.695472581436,3.6214046552881145,5015.834376802465,3.798961312957232,5050.6055020005715,3.9989974542866933
32,-99,-99,-99.0,-99.0,-99.0,-99.0,4569.2701616779505,2.4365005426262587,4638.954892344835,2.792738763968445,4701.7890181562125,3.0496944144596525,4758.111630998349,3.2385763133327132,4808.73602482454,3.385551296269644,4857.420846717395,3.466474328879635,4887.613966978578,3.6700840478433894,4925.802662563882,3.7453042906520433,4972.2854269601785,3.726964001674842,5002.3542276436065,3.907179202298302,5033.599818448453,4.113834540289706
33,-99,-99,-99.0,-99.0,-99.0,-99.0,4569.951826672935,2.5084300207871624,4636.468664112654,2.8785287355012295,4697.334779952301,3.143012663052999,4752.406789259659,3.3372668312613523,4802.182249990564,3.488074056383088,4849.852813647084,3.571151988389054,4879.355518082088,3.778727935365016,4916.980508098414,3.854637100591951,4961.829489626534,3.835311558712465,4990.280114452164,4.017799070499121,5018.793906481376,4.23054612525975
34,-99,-99,-99.0,-99.0,-99.0,-99.0,4570.153671764258,2.5831094757680355,4633.903619051852,2.967154780252837,4692.548280955749,3.239722762937289,4746.178868033449,3.4397880705424666,4795.228969723113,3.5944246093824543,4842.02047883741,3.679629308991969,4871.179204720621,3.8907976007703393,4908.021767215203,3.967704883716255,4951.660310080476,3.947084301768021,4978.985427784812,4.131424383246218,5005.325486585339,4.349698474615477
35,-99,-99,-99.0,-99.0,-99.0,-99.0,4570.026292636836,2.6604680788496253,4630.540188980419,3.0596138670825583,4687.679827020499,3.3396559830564616,4740.068568599859,3.5454568053251276,4788.159166518209,3.704386386394826,4834.39604619155,3.7913535978251525,4862.9708007053905,4.006503441949497,4899.245306727892,4.084190358361433,4942.129839744344,4.061840986073572,4968.303074979458,4.248257367606434,4992.780884200741,4.471595597928004
36,-99,-99,-99.0,-99.0,-99.0,-99.0,4569.398514706146,2.7408095829086667,4627.1262911890735,3.1551108415273506,4682.416907818622,3.4433112475602656,4733.527127790432,3.655111254080457,4780.841149652414,3.8182217810632486,4826.507257076161,3.9071034947078824,4854.459467060903,4.126308324500804,4890.441575706005,4.204471595825178,4932.568476188908,4.18049039819779,4958.162374387476,4.3683174798192335,4981.100807428702,4.5961557572791065
37,-99,-99,-99.0,-99.0,-99.0,-99.0,4568.45461641833,2.824018520759702,4623.112318147432,3.254461020448203,4676.932887793689,3.5505938034921756,4726.772197399371,3.7685799935078355,4773.206646316654,3.9361770290959486,4818.393038308922,4.026919298206941,4845.835311655314,4.250123147886098,4881.549496768094,4.328713347396035,4923.226925212343,4.302744117656654,4948.039047017072,4.492519833562156,4969.890732834009,4.723957525047079
38,-99,-99,-99.0,-99.0,-99.0,-99.0,4566.842700727042,2.910649154142245,4618.808044516695,3.357413158284057,4670.8883877534545,3.6621157637287878,4719.802753264435,3.886026255205806,4765.093730996694,4.058642838983353,4810.047337583979,4.15094326155007,4837.095254662327,4.378029711341302,4872.370453466202,4.457302309744732,4913.50268503611,4.429547883326412,4937.8564725664,4.62099637314632,4958.8040187514,4.855470872810764
39,-99,-99,-99.0,-99.0,-99.0,-99.0,4564.963650676305,3.000334705040469,4614.269654156584,3.4640422121282515,4664.592134009423,3.7776170810075,4712.421096727788,4.007869830000899,4757.064048749331,4.18494568762336,4801.453181153046,4.2793605525578435,4828.062401924699,4.510449770434117,4862.970921504517,4.590333215190644,4903.921384741804,4.560216628156245,4928.0590109577215,4.753215177950489,4948.344319190699,4.989912263097699
40,-99,-99,-99.0,-99.0,-99.0,-99.0,4562.671724298809,3.0933806849684595,4609.223076883033,3.5748415724406115,4658.070675171356,3.897169536307012,4704.809217705621,4.133989351798283,4748.639264491052,4.315946384579838,4792.530778889583,4.412441422524117,4818.744702349042,4.647532870294268,4853.57164437936,4.7275591862856645,4894.329848738172,4.6951184994570365,4917.905753259202,4.890413025697671,4937.8274688529145,5.128073219584401
41,-99,-99,-99.0,-99.0,-99.0,-99.0,4559.942393177087,3.1899518618198064,4603.809264005044,3.6897962702535163,4651.078524398271,4.021330492237509,4696.856577325684,4.264738669752865,4740.048627338701,4.451428177648879,4783.29689269121,4.550335700030109,4809.3437351431785,4.789078418872563,4844.036813838854,4.869339402042294,4884.603530285135,4.834532743407129,4907.83953390781,5.031961097039897,4927.452112083147,5.2685809988862955
42,-99,-99,-99.0,-99.0,-99.0,-99.0,4556.753112780888,3.2902201330014216,4598.139843556396,3.8089168409037097,4643.702756676864,4.150142384574272,4688.635126786694,4.400159470202511,4731.228300903056,4.591679003462613,4773.946762267393,4.692870254274263,4799.8991165142,4.93517450858121,4834.31746364382,5.015851114026419,4874.448164633914,4.97908878020079,4897.636155609165,5.178331095152087,4917.060305279369,5.414262040942097
43,-99,-99,-99.0,-99.0,-99.0,-99.0,4553.045772936045,3.3944020053440553,4591.868893703434,3.932880431558456,4636.092169102052,4.283531411297266,4679.995454533171,4.540680416373788,4722.097061734611,4.737013392499442,4764.514583845611,4.840161567546034,4789.852698762851,5.086938744987516,4824.258232572982,5.167572863586474,4864.29773781431,5.128207873326043,4887.125793977552,5.329932280011583,4906.2736058261235,5.567003936661812
44,-99,-99,-99.0,-99.0,-99.0,-99.0,4549.124095463106,3.502247868102621,4585.3749305726205,4.061295808853456,4628.188865233339,4.42179045956421,4671.2264329579975,4.686023297567333,4712.636512571711,4.887647764988167,4754.6352151203455,4.993010463625809,4779.784987838657,5.243546232974906,4814.062650146281,5.324292685184595,4854.001132198992,5.282287632134628,4876.4964447008615,5.4865877324164325,4895.374135806814,5.724770182763799
45,-99,-99,-99.0,-99.0,-99.0,-99.0,4544.865021151092,3.6140671740592007,4578.499485471268,4.194581518333938,4620.081994378804,4.564933593653905,4662.137566974472,4.8366823204709695,4702.918944686438,5.043639412369346,4744.415576441069,5.151461360917135,4769.421478261304,5.405690876829248,4803.599229765493,5.4864542114807415,4843.468081207497,5.4416819000399075,4865.739760035621,5.648372223441259,4884.5416331385,5.887091860493465
46,-99,-99,-99.0,-99.0,-99.0,-99.0,4539.95484047262,3.730471226657522,4571.033478940887,4.333238117790456,4611.573102685209,4.713519528105806,4652.718970604661,4.992881935780286,4692.9641223472945,5.20518019219237,4734.295192895139,5.314894162407645,4758.77263948727,5.573557039585478,4792.981473645386,5.654014458082703,4832.8256382868385,5.606297867460293,4854.788104964338,5.815662232945076,4873.539449190194,6.054585976402919
47,-99,-99,-99.0,-99.0,-99.0,-99.0,4534.692979964446,3.851224331025312,4563.717312303872,4.476343958128064,4602.647450258939,4.8677694065268575,4642.936365983855,5.154895579427421,4682.59595901106,5.37278685283995,4723.555125255385,5.484819547362693,4748.2045837207315,5.746601529323809,4781.942240288517,5.82766617196788,4821.9669352948185,5.776497039038166,4843.830079894835,5.988209217423067,4862.534031133019,6.226999330194128
48,-99,-99,-99.0,-99.0,-99.0,-99.0,4529.301605115787,3.976147571380266,4555.783964406116,4.625324407115145,4593.5948891319185,5.027377788505691,4633.162145055706,5.32225908472596,4672.200086576486,5.545969047017474,4712.977131446294,5.660000339163944,4737.241183865123,5.925952272972899,4770.966952635387,6.006716845581973,4810.975849220768,5.952342766431807,4832.608423497438,6.1667393741215895,4851.221582230719,6.405278535762398
49,-99,-99,-99.0,-99.0,-99.0,-99.0,4523.284754217376,4.106193606476916,4547.457930627512,4.780047306171889,4584.211732833421,5.1929343763240565,4622.820803351525,5.496264128321322,4661.375063636189,5.725698330110878,4701.71742595802,5.842247251065331,4726.146470914955,6.111319540843496,4759.563748527031,6.192284293752277,4799.44761735199,6.134792759114111,4821.065259460442,6.3515361951933516,4839.862249921932,6.589121902332747
50,-99,-99,-99.0,-99.0,-99.0,-99.0,4516.959539195365,4.24105386828871,4538.734704287776,4.940732773619413,4574.303387010506,5.365038491334517,4612.431453282255,5.676153850828062,4650.30833976986,5.911874391133313,4690.401490833118,6.030647009989012,4714.656518931824,6.3034782898198385,4748.2529815804655,6.3835512454516055,4787.853075646798,6.323174754840741,4809.459020636888,6.542293388147014,4828.594456931606,6.778481475376325
51,-99,-99,-99.0,-99.0,-99.0,-99.0,4510.195791614853,4.38114149526721,4529.991345263947,5.106946893020128,4564.56443542185,5.54259921609756,4601.866829394394,5.8623878841114045,4639.278696602481,6.1041342356677735,4679.15080361973,6.225105982070237,4703.1098675953,6.501917870294575,4736.7407246534,6.581313459111439,4776.224896228201,6.517596147581385,4798.014192725771,6.738649640929541,4817.103107595797,6.9741982878333
52,-99,-99,-99.0,-99.0,-99.0,-99.0,4503.164718971121,4.52636979922362,4520.665994750114,5.279926857696016,4554.330230790718,5.727130977091285,4590.899541783411,6.055687386783949,4628.001389768559,6.303289255488808,4667.228658384182,6.4273953950165,4691.334571520417,6.707261807180641,4724.838345075085,6.786224558108186,4764.489189448497,6.718404767222718,4785.901702727784,6.9426315438618085,4805.362224595172,7.1765353149161815
53,-99,-99,-99.0,-99.0,-99.0,-99.0,4495.4106566516175,4.6777477087103225,4511.231056203221,5.459031113786752,4543.857237488984,5.918361009508642,4579.9500105109,6.255417062786087,4616.36161646298,6.50987014617624,4655.32479689164,6.636388058125435,4679.503047798839,6.919368297058025,4712.962387750718,6.997621071701623,4752.574909181038,6.925974638999906,4773.809158169548,7.152971274431631,4793.473556543114,7.385407748556596
54,-99,-99,-99.0,-99.0,-99.0,-99.0,4487.872674333118,4.833815636445165,4501.649494436369,5.644561743659031,4533.217843872467,6.116444201190644,4568.6197582150035,6.4626828687341975,4604.66864486861,6.723428496460071,4643.396960856902,6.8523599801053345,4667.459384030044,7.138814700026002,4700.7739368528255,7.216453467037396,4740.706730536218,7.140011118260966,4761.521534502541,7.370365754062732,4781.572977836615,7.600898245173988
